Name,Platform,Year_of_Release,Genre,Publisher/Developer,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Drop me
Magical Starsign (US sales),DS,2006,Role-Playing,Nintendo,0.14,0.02,0,0,0.17,,,,,,,Nintendo
RC Revenge Pro,PS2,2000,Racing,Acclaim Entertainment,0.08,0.06,0,0.02,0.17,49,13,7.6,7,Acclaim,E,Acclaim Entertainment
G-Force,X360,2009,Action,Disney Interactive Studios,0.11,0.05,0,0.01,0.17,68,33,7,9,Eurocom Entertainment Software,E10+,Disney Interactive Studios
Surf's Up,Wii,2007,Sports,Ubisoft,0.15,0,0,0.01,0.17,64,9,,,Ubisoft Montreal,E10+,Ubisoft
Buzz! Brain of the UK,PS3,2009,Misc,Sony Computer Entertainment,0,0.15,0,0.01,0.17,,,,,,,Sony Computer Entertainment
Backyard Wrestling: Don't Try This at Home,XB,2003,Fighting,Eidos Interactive,0.13,0.04,0,0.01,0.17,50,15,5,7,Paradox Development,M,Eidos Interactive
Gauntlet: Dark Legacy,XB,2002,Action,Midway Games,0.13,0.04,0,0.01,0.17,54,9,8.9,10,Midway,T,Midway Games
Far East of Eden II: Manji Maru,PS2,2003,Role-Playing,Hudson Soft,0,0,0.17,0,0.17,,,,,,,Hudson Soft
Time and Eternity,PS3,2012,Role-Playing,Nippon Ichi Software,0.06,0.03,0.06,0.02,0.17,42,40,5,78,"Image Epoch, Imageepoch",T,Nippon Ichi Software
Lost Kingdoms,GC,2002,Role-Playing,Activision,0.1,0.02,0.04,0,0.17,72,22,8,15,From Software,T,Activision
Brunswick Cosmic Bowling,Wii,2010,Sports,GameMill Entertainment,0.16,0,0,0.01,0.17,,,,,CokeM Interactive,E,GameMill Entertainment
Pursuit Force: Extreme Justice,PSP,2007,Action,Sony Computer Entertainment,0.07,0.06,0,0.03,0.17,73,44,7.6,11,Bigbig Studios,T,Sony Computer Entertainment
Disney Sing It: Family Hits,PS3,2010,Misc,Disney Interactive Studios,0.11,0.03,0,0.02,0.17,72,4,,,Disney Interactive Studios,E,Disney Interactive Studios
Matchbox Cross Town Heroes,GBA,2002,Racing,THQ,0.12,0.04,0,0,0.17,,,,,,,THQ
The Cursed Crusade,PS3,2011,Action,DTP Entertainment,0.07,0.06,0.01,0.03,0.17,45,17,5,26,Kylotonn,M,DTP Entertainment
Ridge Racer Unbounded,PS3,2012,Racing,Namco Bandai Games,0.05,0.09,0,0.03,0.17,72,20,6,29,Bugbear,T,Namco Bandai Games
Wolfenstein 3D,GBA,2002,Shooter,BAM! Entertainment,0.12,0.04,0,0,0.17,57,9,6,7,Stalker Entertainment,M,BAM! Entertainment
Nobunaga no Yabou: Tenshoki,SNES,1996,Strategy,Tecmo Koei,0,0,0.17,0,0.17,,,,,,,Tecmo Koei
NHL 07,PSP,2006,Sports,Electronic Arts,0.13,0.02,0,0.02,0.17,76,7,6.6,23,EA Sports,E10+,Electronic Arts
I'm A Celebrity: Get Me Out of Here!,Wii,2009,Misc,Mindscape,0,0.16,0,0.01,0.17,,,,,,,Mindscape
Dementium: The Ward,DS,2007,Shooter,SouthPeak Games,0.15,0.01,0,0.01,0.17,72,48,7.9,37,Renegade Kid,M,SouthPeak Games
Mobile Suit Gundam: Extreme VS Force,PSV,2015,Action,Namco Bandai Games,0,0,0.17,0,0.17,57,25,7.3,15,Bandai Namco Games,E10+,Namco Bandai Games
Dragon Quest X,3DS,2014,Role-Playing,Square Enix,0,0,0.17,0,0.17,,,,,,,Square Enix
Learning to Spell,DS,2010,Misc,505 Games,0.16,0,0,0.01,0.17,,,,,505 Games,E,505 Games
TRON: Evolution,DS,2010,Action,Disney Interactive Studios,0.11,0.04,0,0.01,0.17,58,5,,,n-Space,E10+,Disney Interactive Studios
Sudoku Gridmaster,DS,2006,Puzzle,Nintendo,0.13,0.02,0,0.01,0.17,62,14,,,AI,E,Nintendo
NASCAR '14,X360,2014,Racing,Deep Silver,0.15,0,0,0.02,0.17,65,4,5.1,14,Deep Silver,E,Deep Silver
Super Power League,SNES,1993,Sports,Hudson Soft,0,0,0.17,0,0.17,,,,,,,Hudson Soft
Bakugan Battle Brawlers: Defenders of the Core,PS3,2010,Action,Activision,0.14,0.01,0,0.02,0.17,50,7,,,Now Production,E10+,Activision
Green Lantern: Rise of the Manhunters,PS3,2011,Action,Warner Bros. Interactive Entertainment,0.09,0.05,0,0.02,0.17,61,12,6.7,17,Double Helix Games,T,Warner Bros. Interactive Entertainment
Street Fighter Alpha 2,SNES,1996,Fighting,Nintendo,0,0,0.17,0,0.17,,,,,,,Nintendo
25 to Life,XB,2006,Shooter,Eidos Interactive,0.12,0.04,0,0.01,0.17,41,20,7.2,13,"Ritual Entertainment, Avalanche Software",M,Eidos Interactive
Squeeballs Party,DS,2009,Puzzle,Performance Designed Products,0.15,0,0,0.01,0.17,,,,,Eiconic Games,E10+,Performance Designed Products
Naval Assault: The Killing Tide,X360,2010,Simulation,505 Games,0.08,0.07,0,0.02,0.17,40,11,4.2,5,Artech Studios,T,505 Games
NASCAR '15,X360,2015,Sports,Deep Silver,0.15,0,0,0.02,0.17,,,3.8,6,DMi Games,E,Deep Silver
NCAA Basketball 09,PS3,2008,Sports,Electronic Arts,0.15,0,0,0.01,0.17,68,17,,,EA Canada,E,Electronic Arts
Sega Superstars,PS2,2004,Misc,Sega,0.08,0.06,0,0.02,0.17,72,28,7,5,Sonic Team,T,Sega
MLB 11: The Show,PSP,2011,Sports,Sony Computer Entertainment,0.15,0,0,0.02,0.17,77,9,6,5,SCEA San Diego Studios,E,Sony Computer Entertainment
Bomberman Land,Wii,2007,Misc,Rising Star Games,0.11,0.01,0.03,0.01,0.17,57,23,8,10,Racjin,E,Rising Star Games
Ringling Bros. and Barnum & Bailey: Circus Friends,DS,2009,Action,Take-Two Interactive,0.15,0,0,0.01,0.17,,,,,,,Take-Two Interactive
Midway Arcade Treasures,GC,2003,Misc,Midway Games,0.13,0.03,0,0,0.17,72,11,8.2,5,Midway,T,Midway Games
Leisure Suit Larry: Magna Cum Laude,XB,2004,Adventure,Vivendi Games,0.12,0.04,0,0.01,0.17,62,49,6.4,13,High Voltage Software,M,Vivendi Games
Mousetrap / Operation / Simon,GBA,2005,Misc,DSI Games,0.12,0.04,0,0,0.17,,,,,,,DSI Games
Pac-Man World 3,DS,2005,Platform,Namco Bandai Games,0.15,0,0,0.01,0.17,44,8,,,"Blitz Games, Human Soft",E,Namco Bandai Games
Shawn Johnson Gymnastics,Wii,2010,Sports,Zoo Games,0.16,0,0,0.01,0.17,,,,,Zoo Games,E,Zoo Games
NBA 09: The Inside,PS2,2008,Sports,Sony Computer Entertainment,0.08,0.06,0,0.02,0.17,,,,,SCEA San Diego Studios,E,Sony Computer Entertainment
One Piece: Pirate Warriors 3,PSV,2015,Action,Namco Bandai Games,0,0.03,0.13,0.01,0.17,76,4,6.3,17,Omega Force,T,Namco Bandai Games
Jikkyou Powerful Pro Yakyuu 2014,PS3,2014,Sports,Konami Digital Entertainment,0,0,0.17,0,0.17,,,,,,,Konami Digital Entertainment
Resident Evil,SAT,1997,Action,Capcom,0,0,0.17,0,0.17,,,,,,,Capcom
TOEIC Test Training DS,DS,2007,Misc,IE Institute,0,0,0.17,0,0.17,,,,,,,IE Institute
Itoi Shigesato no Bass Tsuri No. 1,SNES,1997,Sports,Nintendo,0,0,0.17,0,0.17,,,,,,,Nintendo
ZhuZhu Puppies,DS,2011,Simulation,Activision,0.12,0.03,0,0.01,0.17,,,,,Activision,E,Activision
Cubivore: Survival of the Fittest,GC,2002,Adventure,Nintendo,0.01,0,0.15,0,0.17,71,12,8.5,21,Nintendo,E,Nintendo
7th Dragon III Code: VFD,3DS,2015,Role-Playing,Sega,0.04,0,0.12,0,0.17,77,26,8.2,38,Sega,T,Sega
FlatOut,XB,2004,Racing,Empire Interactive,0.12,0.04,0,0.01,0.17,71,39,8.2,21,Bugbear,T,Empire Interactive
Chaotic: Shadow Warriors,PS3,2009,Action,Activision,0.15,0,0,0.02,0.17,,,,,FUN Labs,E10+,Activision
Mr. Do!'s Castle,2600,1983,Action,Parker Bros.,0.15,0.01,0,0,0.17,,,,,,,Parker Bros.
Death Trap,2600,1982,Action,Avalon Interactive,0.15,0.01,0,0,0.17,,,,,,,Avalon Interactive
Armor Ambush,2600,1981,Action,Mattel Interactive,0.15,0.01,0,0,0.17,,,,,,,Mattel Interactive
Parodius,SAT,1995,Shooter,Konami Digital Entertainment,0,0,0.16,0,0.17,,,,,,,Konami Digital Entertainment
Easy Piano,DS,2009,Misc,Game Life,0.04,0.11,0,0.02,0.16,52,4,,,Game Life,E,Game Life
Blood Bowl,X360,2009,Sports,Focus Home Interactive,0.13,0.02,0,0.01,0.16,61,28,5.1,19,Cyanide,T,Focus Home Interactive
Taz Wanted,PS2,2002,Platform,Atari,0.08,0.06,0,0.02,0.16,65,7,8.7,9,Blitz Games,E,Atari
Far Cry: Primal,PC,2016,Action,Ubisoft,0.04,0.11,0,0.01,0.16,74,18,4.8,368,Ubisoft Montreal,M,Ubisoft
Sid Meier's Civilization IV,PC,2005,Strategy,Take-Two Interactive,0.02,0.12,0,0.03,0.16,94,50,8.3,909,Firaxis Games,E10+,Take-Two Interactive
Zoo Keeper,DS,2004,Puzzle,Ignition Entertainment,0.1,0.01,0.05,0.01,0.16,74,40,7.5,13,"Buddiez, Inc.",E,Ignition Entertainment
Phantasy Star Online 2,PSV,2013,Role-Playing,Sega,0,0,0.16,0,0.16,,,,,,,Sega
Vehicular Combat League presents Motor Mayhem,PS2,2001,Racing,Atari,0.08,0.06,0,0.02,0.16,,,,,,,Atari
Chuck E. Cheese's Party Games,Wii,2010,Misc,UFO Interactive,0.15,0,0,0.01,0.16,,,,,UFO Interactive,E,UFO Interactive
Pursuit Force,PSP,2005,Racing,Sony Computer Entertainment,0.14,0.01,0,0.01,0.16,75,59,7.8,26,Bigbig Studios,T,Sony Computer Entertainment
PoPoLoCrois: Hajimari no Bouken,PS2,2002,Role-Playing,Sony Computer Entertainment,0,0,0.16,0,0.16,,,,,,,Sony Computer Entertainment
Star Wars: Super Bombad Racing,PS2,2001,Racing,LucasArts,0.08,0.06,0,0.02,0.16,71,21,4.9,8,Lucas Learning,E,LucasArts
TransFormers Animated: The Game,DS,2008,Action,Activision,0.15,0,0,0.01,0.16,69,15,,,Artificial Mind and Movement,E,Activision
Hamster Heroes,Wii,2008,Puzzle,Popcorn Arcade,0.16,0,0,0,0.16,,,,,,,Popcorn Arcade
Hot Wheels Velocity X,GBA,2002,Racing,THQ,0.12,0.04,0,0,0.16,,,,,,,THQ
Driver: San Francisco,Wii,2011,Racing,Ubisoft,0.06,0.09,0,0.02,0.16,64,7,6.2,10,Ubisoft Reflections,T,Ubisoft
Alien Resurrection,PS,2000,Shooter,Fox Interactive,0.09,0.06,0,0.01,0.16,61,12,7.5,15,Argonaut Games,M,Fox Interactive
World Tour Soccer 2005,PS2,2004,Sports,Sony Computer Entertainment,0.08,0.06,0,0.02,0.16,68,28,9,6,SCEE London Studio,E,Sony Computer Entertainment
Disney Friends,DS,2007,Simulation,Disney Interactive Studios,0.12,0.03,0,0.01,0.16,,,7.3,4,"Amaze Entertainment, Walt Disney Japan",E,Disney Interactive Studios
ESPN College Hoops,PS2,2003,Sports,Sega,0.08,0.06,0,0.02,0.16,83,14,8.5,8,Visual Concepts,E,Sega
Dengeki Bunko Fighting Climax,PS3,2014,Fighting,Sega,0.05,0,0.09,0.01,0.16,66,13,8.2,29,"Sega, French-Bread",T,Sega
F1 Championship Season 2000,PS2,2000,Racing,Electronic Arts,0.06,0.05,0.03,0.02,0.16,71,11,,,EA Sports,E,Electronic Arts
Leisure Suit Larry: Box Office Bust,X360,2009,Adventure,Codemasters,0.14,0.01,0,0.01,0.16,25,27,2.5,41,Team 17,M,Codemasters
Pen 1 Grand Prix: Penguin no Mondai Special,DS,2009,Fighting,Konami Digital Entertainment,0,0,0.16,0,0.16,,,,,,,Konami Digital Entertainment
Robotech: Battlecry,GC,2002,Shooter,TDK Mediactive,0.13,0.03,0,0,0.16,74,11,8.4,5,Vicious Cycle,T,TDK Mediactive
Zapper: One Wicked Cricket!,PS2,2002,Platform,Infogrames,0.08,0.06,0,0.02,0.16,,,,,,,Infogrames
Bomberman Land,PS,2000,Misc,Hudson Soft,0,0,0.15,0.01,0.16,,,,,,,Hudson Soft
Clash of the Titans,X360,2010,Action,Namco Bandai Games,0.08,0.06,0,0.02,0.16,42,31,4.1,17,Game Republic,T,Namco Bandai Games
Pro Evolution Soccer 2014,PSP,2013,Action,Konami Digital Entertainment,0,0.02,0.14,0,0.16,,,,,Konami,E,Konami Digital Entertainment
Paws & Claws: Pet Resort,GBA,2006,Simulation,THQ,0.12,0.04,0,0,0.16,,,,,,,THQ
Kya: Dark Lineage,PS2,2003,Adventure,Atari,0.08,0.06,0,0.02,0.16,69,25,8.9,28,Eden Studios,T,Atari
Mirror's Edge Catalyst,XOne,2016,Platform,Electronic Arts,0.09,0.06,0,0.01,0.16,72,46,4.4,266,EA DICE,T,Electronic Arts
Curious George,GBA,2006,Action,Namco Bandai Games,0.12,0.04,0,0,0.16,65,5,,,Torus Games,E,Namco Bandai Games
Stronghold 3,PC,2011,Strategy,N/A,0.06,0.1,0,0,0.16,47,29,3,350,FireFly Studios,T,N/A
Lethal Skies II,PS2,2003,Simulation,Sammy Corporation,0.08,0.06,0,0.02,0.16,73,26,,,"Asmik Ace Entertainment, Inc",T,Sammy Corporation
F1 2011,3DS,2011,Racing,Codemasters,0.07,0.08,0,0.02,0.16,59,15,6.8,13,Codemasters,E,Codemasters
Kamaitachi no Yoru × 3,PS2,2006,Adventure,Sega,0,0,0.16,0,0.16,,,,,,,Sega
Guilty Gear Judgment,PSP,2006,Fighting,Majesco Entertainment,0.13,0,0.02,0.01,0.16,77,17,6.6,8,Arc System Works,T,Majesco Entertainment
Tom and Jerry: Infurnal Escape,GBA,2003,Action,Ubisoft,0.12,0.04,0,0,0.16,,,,,,,Ubisoft
NCAA Football 09 All-Play,Wii,2008,Sports,Electronic Arts,0.15,0,0,0.01,0.16,49,5,5.8,32,EA Canada,E,Electronic Arts
Splatterhouse,PS3,N/A,Action,Namco Bandai Games,0.13,0.02,0,0.02,0.16,59,49,7.7,67,"Namco Bandai Games America, Namco Bandai Games",M,Namco Bandai Games
The Legend of Heroes VII: The Trail of Zero,PSP,2010,Role-Playing,Falcom Corporation,0,0,0.16,0,0.16,,,,,,,Falcom Corporation
Doctor Lautrec and the Forgotten Knights,3DS,2011,Adventure,Konami Digital Entertainment,0.07,0.05,0.03,0.01,0.16,53,19,6.1,8,WinkySoft,E10+,Konami Digital Entertainment
King's Field,PS,1995,Role-Playing,Sony Computer Entertainment,0.09,0.06,0,0.01,0.16,,,,,,,Sony Computer Entertainment
Let's Ride: Sunshine Stables,GBA,2005,Sports,DTP Entertainment,0.12,0.04,0,0,0.16,,,,,,,DTP Entertainment
World Stadium 4,PS,2000,Sports,Namco Bandai Games,0,0,0.15,0.01,0.16,,,,,,,Namco Bandai Games
Disney's American Dragon Jake Long: Attack of the Dark Dragon,DS,2006,Action,Disney Interactive Studios,0.15,0,0,0.01,0.16,,,,,WayForward,E,Disney Interactive Studios
Midway Arcade Treasures 2,GC,2004,Misc,Midway Games,0.13,0.03,0,0,0.16,74,21,,,Backbone Entertainment,M,Midway Games
Hot Wheels World Race,GC,2003,Racing,THQ,0.13,0.03,0,0,0.16,59,5,7,5,Climax Group,E,THQ
San Goku Shi Taisen DS,DS,2007,Strategy,Sega,0,0,0.16,0,0.16,,,,,,,Sega
Monster Jam,Wii,2007,Racing,Activision,0.15,0,0,0.01,0.16,,,7.8,8,Activision,E,Activision
Kawa no Nushi Tsuri,PS,1998,Sports,Victor Interactive,0,0,0.15,0.01,0.16,,,,,,,Victor Interactive
Castlevania Judgment,Wii,2008,Fighting,Konami Digital Entertainment,0.12,0.02,0.01,0.01,0.16,49,33,5.9,56,Eighting,T,Konami Digital Entertainment
Magic: The Gathering - Battlegrounds,XB,2003,Strategy,Atari,0.12,0.03,0,0.01,0.16,,,,,,,Atari
N2O: Nitrous Oxide,PS,1998,Racing,Gremlin Interactive Ltd,0.09,0.06,0,0.01,0.16,,,,,,,Gremlin Interactive Ltd
Dancing With The Stars,PS2,2007,Misc,Activision,0.08,0.06,0,0.02,0.16,,,,,Zoe Mode,E10+,Activision
Apache: Air Assault,X360,2010,Simulation,Activision,0.12,0.03,0,0.01,0.16,70,26,6.4,31,Gaijin Entertainment,T,Activision
Aliens: Infestation,DS,2011,Action,Sega,0.09,0.05,0,0.02,0.16,76,43,8.2,29,"Gearbox Software, WayForward",T,Sega
Return to PopoloCrois: A Story of Seasons Fairytale,3DS,2015,Simulation,Marvelous Entertainment,0.05,0,0.1,0.01,0.16,72,28,6.8,15,Marvelous Inc.,E10+,Marvelous Entertainment
Angry Birds Trilogy,PS3,2012,Action,Activision,0.12,0.02,0,0.03,0.16,66,8,3.7,20,"Rovio Mobile, Rovio Entertainment",E,Activision
Otogirisou,SNES,1992,Adventure,ChunSoft,0,0,0.16,0,0.16,,,,,,,ChunSoft
SD Gundam G Generation 3D,3DS,2011,Role-Playing,Namco Bandai Games,0,0,0.16,0,0.16,,,,,,,Namco Bandai Games
Crash Tag Team Racing,GC,2005,Racing,Vivendi Games,0.12,0.03,0,0,0.16,66,14,7.3,11,Radical Entertainment,E10+,Vivendi Games
El Shaddai: Ascension of the Metatron,X360,2011,Action,Ignition Entertainment,0.07,0.05,0.03,0.01,0.16,75,44,7,47,Ignition Entertainment,T,Ignition Entertainment
NPPL: Championship Paintball 2009,PS3,2008,Shooter,Activision Value,0.15,0,0,0.01,0.16,45,9,7.4,10,FUN Labs,E10+,Activision Value
True Swing Golf,DS,2005,Sports,Nintendo,0.11,0,0.04,0.01,0.16,66,32,7.7,11,T&E Soft,E,Nintendo
TimeSplitters: Future Perfect,XB,2005,Shooter,Electronic Arts,0.12,0.03,0,0.01,0.16,83,54,8.9,35,Free Radical Design,M,Electronic Arts
Hannah Montana: Rock Out the Show,PSP,2009,Misc,Disney Interactive Studios,0.13,0.01,0,0.02,0.16,,,,,,,Disney Interactive Studios
Zoo Hospital,Wii,2008,Simulation,Majesco Entertainment,0.14,0.01,0,0.01,0.16,61,4,,,Torus Games,E,Majesco Entertainment
Family Feud Decades,Wii,2010,Misc,Ubisoft,0.15,0,0,0.01,0.16,,,,,Ludia,E10+,Ubisoft
Midway Arcade Treasures 3,PS2,2005,Misc,Midway Games,0.08,0.06,0,0.02,0.16,67,23,,,Digital Eclipse,E,Midway Games
Goosebumps HorrorLand,Wii,2008,Adventure,Scholastic Inc.,0.15,0,0,0.01,0.16,37,4,3.5,8,SScholastic Media,E10+,Scholastic Inc.
Dr. Muto,PS2,2002,Platform,Midway Games,0.08,0.06,0,0.02,0.16,,,,,,,Midway Games
Thrillville: Off the Rails,X360,2007,Strategy,LucasArts,0.13,0.02,0,0.01,0.16,73,24,2.8,34,Frontier Developments,E10+,LucasArts
DS Rakubiki Jiten,DS,2005,Misc,Nintendo,0,0,0.16,0,0.16,,,,,,,Nintendo
SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,PS2,2005,Adventure,Activision,0.08,0.06,0,0.02,0.16,,,,,,,Activision
Fatal Frame II: Crimson Butterfly,PS2,2003,Action,Ubisoft,0.08,0.06,0,0.02,0.16,81,40,9.2,100,Tecmo,M,Ubisoft
Murdered: Soul Suspect,XOne,2014,Action,Square Enix,0.08,0.07,0,0.01,0.16,51,17,7,130,Airtight Games,M,Square Enix
Shadow Man: 2econd Coming,PS2,2002,Adventure,Acclaim Entertainment,0.08,0.06,0,0.02,0.16,68,24,7.6,8,Acclaim,M,Acclaim Entertainment
Yu-Gi-Oh! 5D's Tag Force 6,PSP,2011,Strategy,Konami Digital Entertainment,0,0,0.16,0,0.16,,,,,,,Konami Digital Entertainment
Dynasty Warriors 4,XB,2003,Action,Tecmo Koei,0.12,0.03,0,0.01,0.16,75,18,8.8,18,Omega Force,T,Tecmo Koei
Warriors Orochi 3,X360,2011,Action,Ubisoft Annecy,0.09,0.03,0.03,0.01,0.16,71,9,8.1,19,Omega Force,T,Ubisoft Annecy
Wakeboarding Unleashed Featuring Shaun Murray,PS2,2003,Sports,Activision,0.08,0.06,0,0.02,0.16,83,23,9,12,Shaba Games,E,Activision
The Incredibles: Rise of the Underminer,GC,2005,Action,THQ,0.12,0.03,0,0,0.16,67,7,6.6,7,Heavy Iron Studios,E10+,THQ
Beowulf: The Game,PS3,2007,Action,Ubisoft,0.14,0.01,0,0.01,0.16,51,18,5.2,17,Ubisoft,M,Ubisoft
Dewy's Adventure,Wii,2007,Platform,Konami Digital Entertainment,0.14,0,0.01,0.01,0.16,67,29,6.3,15,Konami,E,Konami Digital Entertainment
Jikkyou Powerful Pro Yakyuu 3 '97 Haru,SNES,1997,Sports,Konami Digital Entertainment,0,0,0.16,0,0.16,,,,,,,Konami Digital Entertainment
Alone in the Dark: The New Nightmare,PS,N/A,Adventure,Infogrames,0.09,0.06,0,0.01,0.16,77,15,8.1,40,Darkworks,M,Infogrames
The BIGS,PS3,2007,Sports,Take-Two Interactive,0.15,0,0,0.01,0.16,77,19,7.2,12,Blue Castle Games,E,Take-Two Interactive
Fracture,PS3,2008,Shooter,LucasArts,0.11,0.04,0,0.02,0.16,62,40,5.8,18,Day 1 Studios,T,LucasArts
Flushed Away,GC,2006,Platform,D3Publisher,0.12,0.03,0,0,0.16,47,4,,,Monkey Bar Games,E,D3Publisher
NBA Live 08,Wii,2007,Sports,Electronic Arts,0.14,0,0,0.01,0.16,52,11,7.1,21,EA Canada,E,Electronic Arts
Summon Night EX-Thesis: Yoake no Tsubasa,PS2,2005,Role-Playing,Banpresto,0,0,0.16,0,0.16,,,,,,,Banpresto
Hyperdimension Neptunia Victory,PS3,2012,Role-Playing,Compile Heart,0.05,0.03,0.06,0.02,0.16,55,19,7.8,94,"Idea Factory, Compile Heart",T,Compile Heart
Pro Yaky? Spirits 3,PS2,2006,Sports,Konami Digital Entertainment,0,0,0.16,0,0.16,,,,,,,Konami Digital Entertainment
Silent Scope 3,PS2,2002,Shooter,Konami Digital Entertainment,0.08,0.06,0,0.02,0.16,61,12,,,KCET,M,Konami Digital Entertainment
NASCAR Heat 2002,GBA,2002,Racing,Infogrames,0.12,0.04,0,0,0.16,52,4,,,Crawfish Interactive,E,Infogrames
Marble Saga: Kororinpa,Wii,2009,Puzzle,Konami Digital Entertainment,0.09,0.05,0,0.01,0.16,74,16,7.3,6,Hudson Entertainment,E,Konami Digital Entertainment
Namco Classic Fighter Collection,PS2,2008,Fighting,Namco Bandai Games,0.08,0.06,0,0.02,0.16,,,,,Namco Bandai Games America,T,Namco Bandai Games
International Superstar Soccer Deluxe,SNES,1995,Sports,Konami Digital Entertainment,0,0,0.16,0,0.16,,,,,,,Konami Digital Entertainment
Family Game Night 4: The Game Show,Wii,2011,Misc,Electronic Arts,0.12,0.03,0,0.01,0.16,,,,,Electronic Arts,E,Electronic Arts
Intellivision Lives!,PS2,2003,Misc,Play It,0.08,0.06,0,0.02,0.16,,,,,,,Play It
Robots,GC,2005,Action,Vivendi Games,0.12,0.03,0,0,0.16,56,4,,,Eurocom Entertainment Software,E,Vivendi Games
WRC 2: FIA World Rally Championship,PS3,2011,Racing,Ubisoft,0,0.12,0,0.04,0.16,,,,,,,Ubisoft
The King of Fighters XII,PS3,2009,Fighting,Ignition Entertainment,0.11,0.01,0.03,0.01,0.16,57,48,5.3,46,SNK Playmore,T,Ignition Entertainment
Tak: Mojo Mistake,DS,2008,Action,THQ,0.15,0,0,0.01,0.16,,,,,THQ,E,THQ
Lego Star Wars: The Force Awakens,PS3,2016,Action,Warner Bros. Interactive Entertainment,0.04,0.1,0,0.03,0.16,,,,,TT Games,E10+,Warner Bros. Interactive Entertainment
Dungeon Siege: Throne of Agony,PSP,2006,Role-Playing,Take-Two Interactive,0.13,0.02,0,0.02,0.16,74,32,8.1,21,SuperVillain Studios,T,Take-Two Interactive
Rio,DS,2011,Misc,THQ,0.12,0.03,0,0.01,0.16,59,5,,,THQ,E,THQ
SimEarth: The Living Planet,SNES,1991,Simulation,Imagineer,0,0,0.16,0,0.16,,,,,,,Imagineer
Finding Nemo: Escape to the Big Blue,DS,2006,Action,THQ,0.12,0.03,0,0.01,0.16,66,5,,,Altron,E,THQ
Sengoku Basara: Chronicle Heroes,PSP,2011,Action,Capcom,0,0,0.16,0,0.16,,,,,,,Capcom
Grease Dance,X360,2011,Misc,505 Games,0.11,0.03,0,0.01,0.16,,,,,505 Games,T,505 Games
Culdcept SAGA,X360,2006,Role-Playing,Namco Bandai Games,0.12,0,0.03,0.01,0.16,75,33,8.7,49,"Omiya Soft, Jamsworks",T,Namco Bandai Games
The Wild Thornberrys: Chimp Chase,GBA,2001,Action,THQ,0.11,0.04,0,0,0.16,,,,,Helixe,E,THQ
Power Stakes,PS,1997,Sports,Aques,0,0,0.15,0.01,0.16,,,,,,,Aques
World Series of Poker: Tournament of Champions 2007 Edition,X360,2006,Misc,Activision,0.15,0,0,0.01,0.16,,,,,,,Activision
Tom and Jerry in Fists of Furry,N64,2000,Fighting,Ubisoft,0.13,0.03,0,0,0.16,,,,,,,Ubisoft
Hydro Thunder,N64,2000,Racing,Midway Games,0.13,0.03,0,0,0.16,,,,,,,Midway Games
Destruction Derby 64,N64,1999,Racing,THQ,0.13,0.03,0,0,0.16,,,,,,,THQ
Space Invaders,N64,1999,Shooter,Activision,0.13,0.03,0,0,0.16,,,,,,,Activision
Starcraft 64,N64,2000,Strategy,Nintendo,0.13,0.03,0,0,0.16,,,,,,,Nintendo
Buck Bumble,N64,1998,Action,Ubisoft,0.13,0.03,0,0,0.16,,,,,,,Ubisoft
California Speed,N64,1999,Misc,Midway Games,0.13,0.03,0,0,0.16,,,,,,,Midway Games
Wonder Project J2: Koruro no Mori no Josette,N64,1996,Simulation,Enix Corporation,0,0,0.12,0.04,0.16,,,,,,,Enix Corporation
Asteroids Hyper 64,N64,1999,Shooter,Crave Entertainment,0.13,0.03,0,0,0.16,,,,,,,Crave Entertainment
The Powerpuff Girls: Chemical X-Traction,N64,2001,Action,BAM! Entertainment,0.13,0.03,0,0,0.16,,,,,,,BAM! Entertainment
Fighters Destiny,N64,1998,Fighting,Ocean,0.13,0.03,0,0,0.16,,,,,,,Ocean
Jikkyou Powerful Pro Yakyuu Basic-han 2001,N64,2001,Sports,Konami Digital Entertainment,0,0,0.12,0.04,0.16,,,,,,,Konami Digital Entertainment
The Crew,PC,2014,Racing,Ubisoft,0,0.15,0,0.01,0.16,71,12,6.4,463,"Ubisoft Reflections, Ivory Tower",T,Ubisoft
Ready 2 Rumble Revolution,Wii,2009,Sports,Atari,0.15,0,0,0.01,0.16,37,31,,,10tacle Studios,T,Atari
Create,PS3,2010,Action,Electronic Arts,0.11,0.03,0,0.02,0.16,61,23,5.2,5,EA Bright Light,E,Electronic Arts
Minna no DS Seminar: Kanpeki Kanji Ryoku,DS,2006,Misc,TDK Core,0,0,0.16,0,0.16,,,,,,,TDK Core
Macross Ace Frontier,PSP,2008,Simulation,Namco Bandai Games,0,0,0.16,0,0.16,,,,,,,Namco Bandai Games
Black & Bruised,PS2,2003,Fighting,Vivendi Games,0.08,0.06,0,0.02,0.16,,,,,,,Vivendi Games
Eragon,DS,2006,Action,Vivendi Games,0.13,0.02,0,0.01,0.16,63,17,7.6,13,Amaze Entertainment,T,Vivendi Games
TimeShift,PS3,2007,Shooter,Vivendi Games,0.14,0,0,0.01,0.16,70,16,6.3,27,Saber Interactive,M,Vivendi Games
